,Start Time,End Time,Cleaned Text,Score
0,83.0,89.96,covid thank author slide provid book also websit,0.35178315149422107
1,89.96,99.32,use present rule cours ask question,0.4057278041411057
2,99.32,106.28,discuss forum feel free ask question perspect may differ,0.333093930221522
3,106.28,112.76,apt mind correct make mistak rememb continu learn mode,0.33256483901367595
4,113.16,121.32,take note slide avail web final pleas make sure,0.3319153589183939
5,121.32,127.48,cell phone shear mode chat window busi mode give undivid,0.346148679692398
6,127.48,138.52,attent understand cours want reiter learn object,0.37614654833069167
7,138.52,147.48000000000002,upon complet lectur abl understand inform secur,0.3670536726315158
8,148.20000000000002,155.16000000000005,modern day contest also earli day call comput secur evolv,0.340473892694892
9,155.16000000000005,162.20000000000002,inform secur understand mani key term critic concept inform secur,0.3607384138141144
10,162.2,172.11999999999998,modern day importantli understand way organ driven,0.37651460246304175
11,172.11999999999998,177.79999999999998,manag organ would organogram organ would,0.5250438204856404
12,177.79999999999998,186.12,respons four object import appreci,0.44573634046649413
13,186.2,192.28,inform secur object subtl concept,0.432544295228056
14,194.68,199.72,hope mani know burton roussel burton roussel came small statement,0.37235447950726064
15,200.52,205.88,small much well known small jargon small statement,0.46683963860895056
16,205.88,211.96,obvious enemi correct mani thing teach,0.405622943559139
17,211.96,219.4,cours debat cours obviou thing follow,0.4700838615487588
18,219.4,227.88,land issu teach obviou thing mean,0.40728379965333095
19,228.12,234.76,neglect thing global scenario would,0.4451127782720065
20,234.76,245.48,learn object cours mention earlier six modul sub modul,0.3673495499370962
21,245.48,252.44,modul one discuss entir modul one would inform,0.43048480101366576
22,252.44,259.72,secur need cia import term inform secur,0.40948181975800885
23,259.8,268.28000000000003,basic talk confidenti integr avail bring,0.4069749858948864
24,268.28000000000003,275.08000000000004,confidenti integr avail inform secur system lot,0.3712151977787939
25,275.08000000000004,281.64000000000004,thing need done see three bullet point follow,0.3522135575117533
26,282.20000000000005,288.52000000000004,necessari build confidenti integr avail system,0.4034969796819901
27,289.0,297.24,exampl polici procedur guidelin standard secur perspect,0.3702456004494787
28,297.24,305.64,administr measur technic measur need enforc three cia,0.39431929584046094
29,305.64,311.96,basic foundat inform secur goal inform secur,0.4537794623068304
30,312.2,322.36,also look peopl process technolog peopl one follow process,0.3984478090465641
31,322.92,329.56,process implement technolog secur address technolog,0.46327799750118387
32,329.56,337.64,level process use technolog peopl actual use process,0.43192329459573514
33,337.64,346.04,lot inform lot disciplin polici procedur peopl,0.42495379991089327
34,346.6,353.4,need implement one stage name peopl level process level,0.3651869136273164
35,353.4,357.56,technolog level modul talk deepli,0.4448514532302356
36,358.2,369.16,talk kevin mitnik actual hacker actual cyber crimin,0.39061066965625385
37,370.36,379.0,actual captur arrest fbi came back becam one world,0.32995621991766905
38,379.96,391.24,one world renown comput secur expert came interest,0.3440080870621267
39,391.24,397.8,statement obviou statement peopl weakest link particular,0.425882844654195
40,397.8,406.76,phrase known decad whenev secur laps majorli may go,0.32757341446915417
41,406.92,415.64,peopl unawar certain secur measur though know peopl,0.3837961446421315
42,415.64,425.08,weakest link mani mani organ actual invest educ peopl,0.36485374443913365
43,425.08,432.52,issu secur kevin mitnik statement read screen,0.3708963055349656
44,432.6,438.2,best technolog firewal intrus deduct system biometr devic somebodi,0.3298221624556222
45,438.2,447.64,care somebodi call unsuspect employe small leak,0.3767214478073507
46,447.64,455.72,peopl employe side human error human careless could essenti kill,0.344363351423924
47,456.12,467.64,entir system realiti jim anderson came interest,0.37434232742127466
48,467.64,474.2000000000001,definit inform secur especi today enterpris world huge,0.3443611966596645
49,474.2000000000001,482.36,data center noth well inform sens assur inform risk,0.3601439045923854
50,482.36,491.56,control balanc everi risk way control take risk,0.43082134723345655
51,491.56,499.24,enough check balanc control assur given inform,0.3735972702408391
52,499.24,504.12,actual secur definit given jim anderson,0.3991869491071469
53,505.32,511.24,go histori inform secur learn lesson,0.3959968402364173
54,511.24,519.88,past go appreci present futur comput secur basic began,0.3253472772296713
55,519.88,524.92,time comput secur began immedi first mind frame develop,0.3256603329136918
56,525.96,530.04,group develop code break comput world war ii,0.3481372794818942
57,531.8,540.12,creat first modern comput physic control point secur comput,0.3580347598921831
58,541.08,548.2,machin actual store inform sensit network,0.40256414751541186
59,548.2,554.28,lot physic control essenti want physic secur system,0.3905435645871134
60,554.76,561.08,physic secur mean broken manual damag taken,0.36901258206690507
61,561.08,569.0,place lock key physic control read limit,0.37570299775609683
62,569.72,573.72,limit access author person sensit memori locat,0.37655620373696663
63,574.44,579.8,rudimentari control avail defend physic,0.441443681269038
64,579.8,588.76,theft espionag sabotag enigma first german comput actual,0.3470260692144733
65,588.76,593.56,use send code messag small descript enigma,0.3754842185489851
66,593.64,605.2399999999999,entir notion secur start advanc research project agenc arpa,0.32689420458463725
67,605.7199999999999,610.52,began examin feasibl redund network commun,0.40595032742100107
68,611.4,617.8,basic head larri robert develop project incept,0.3760254940657532
69,618.3599999999999,622.1999999999999,larri robert known contribut internet,0.44630035161966
70,623.4799999999999,633.0,look arpa net program plan program plan basic share,0.39683137440852584
71,633.0,639.0799999999999,care look object develop network resourc share,0.37706023494926394
72,640.3599999999999,647.16,first notion comput resourc avail multipl,0.4018847415153159
73,647.16,659.48,comput share arpa net actual grew popular 70 80,0.3286831607890041
74,661.0,668.52,potenti misus fundament problem arpa net secur,0.36885512363968714
75,669.64,674.8399999999999,identifi point first foremost safeti procedur,0.40603182720015957
76,674.84,681.1600000000001,dialogu collect user identif author system nonexist,0.373675169712345
77,682.76,689.96,late 1970 microprocessor expand comput capabl secur threat,0.343768892289145
78,690.6,697.88,arpa net connect microprocessor essenti brought notion secur,0.3481483370090665
79,698.36,705.64,wherein somebodi dial connect see authent person see author develop,0.345217070113636
80,705.64,710.68,develop correct somebodi start use system necessari,0.3753936034089821
81,710.68,718.12,identif author someth becam issu arpa net,0.37709258895385417
82,718.12,722.52,start earli 1970 80,0.4988144280749254
83,723.24,733.8,came r609 call rand report form first report comput,0.3646645883481214
84,733.8,744.4399999999999,secur scope comput secur grew physic secur includ safeti data,0.3784282565976653
85,745.4,751.3199999999999,limit unauthor access data also involv person multi level,0.3303265069055947
86,751.32,758.9200000000001,organ specif author use comput,0.43883262011010815
87,759.24,768.44,level secur look happen immedi world war peopl,0.3461496887293695
88,768.44,776.6,interest comput lock key notion share,0.40293918047077654
89,776.6,784.84,resourc comput slowli came arpa peopl start share system,0.32855153988397834
90,784.84,790.9200000000001,moment start share issu correct fellow log system,0.3491146076799574
91,790.9200000000001,798.76,dial use data physic secur comput,0.39860875450095984
92,805.8,814.52,stolen without physic access comput first notion reflect,0.34750150918608325
93,828.36,837.08,need interconnect network result massiv global network,0.42485571877256645
94,837.08,844.12,today call internet day still larg scale internet deploy,0.3681300394210541
95,844.52,851.72,secur unfortun treat low prioriti inform store,0.3679387635838908
96,851.72,861.08,comput sensit field peopl realiz much time,0.37129472943962905
97,861.8000000000001,868.36,taught network basic use share resourc data also becam someth,0.31397301095250485
98,868.36,874.9200000000001,someon share want share data go unsar,0.4235145961044936
99,875.0,882.68,data within system someth realiz immedi occur peopl,0.34762498066638675
100,882.68,888.76,earli 1990 look larg scale internet deploy day,0.3526095910801384
101,888.76,897.0,secur still given low prioriti present internet brought million,0.3289516019813822
102,897.0,901.96,comput network commun mani still unsecur,0.4018594719553914
103,902.12,909.16,abil secur influenc secur everi comput,0.44260169117750103
104,909.16,919.24,connect mention welcom talk mistak done one system vulner one,0.34311861189424064
105,919.24,928.04,system launch massiv denial servic attack entir land someth,0.3301023224109793
106,928.04,937.88,one need care present system requir larg scale awar disciplin,0.31353013657049417
107,937.88,947.08,system usag bring thing control today environ look,0.34996277298152184
108,957.16,964.28,world googl actual becom verb want someth googl right,0.3661344910647968
109,966.04,975.0,today mani organ trillion trillion data million million,0.4316249755906656
110,975.0,985.16,user commun use data everyon want level secur privaci,0.3269456944303984
111,985.16,993.88,confidenti avail entir gamut inform secur,0.397885905243539
112,994.76,1003.16,come polici process procedur technolog go enabl,0.3758702663454592
113,1003.96,1011.88,major secur feel assur give major secur assur million,0.41604737485357907
114,1011.88,1019.56,million user privaci avail confidenti integr trillion,0.37695440951624615
115,1019.56,1029.56,trillion data use,0.5720895099144337
116,1049.56,1059.56,today environ look data today environ look data,0.49676744375251947
117,1059.56,1069.56,today environ look data today environ look data,0.49676744375251947
